,qid,question_text,target
31,8efd98cfb7883abd96b5,What happens if you get swallowed by a whale?,0
32,de71a722c23720e567ac,How do you know who your true friends are?,0
33,6dfedf203e5312c94a1a,Is the violin more virtuosic than the cello?,0
34,954f50ba86c3172af390,What will be the effect of GST on car prices? Should I buy a car before or after GST is implemented?,0
35,919904ef30a597407be1,Why ikya human capital solution pvt ltd (quess corp) take so much time to process PF?,0
36,4e5801b57dc7be33de7f,What is the best PAINTS for home in India?,0
37,30913203b7f719827c93,Is Jawaharlal Nehru University Entrance Examination for all the courses? I want to take admission in B.A. Language.?,0
38,3dd1e83629698ec25d45,Why would a person I just met tell me a gross out story?,0
39,15730853cb4387606c5c,Why is my skin breaking out after eating pork?,0
40,45cd35cec3aaeeca45c4,Can you write a depressing poem right now?,0
41,acc90df79caeb8700cbd,What are the best tools to use for detailed water color paintings?,0
42,a12fee7bc6a136229bdd,What are some mathametical formulas that are needed in artificial intelligence and machine learning?,0
43,4eecc2c427bf8f02369d,What do I do if somebody steals my Dragon Ball Z lunch box?,0
44,7df96982a53d366c1604,How many years to be taken to complete all the education in the world? Is it life long?,0
45,d5aa38baecbdabfa0745,"If you had to pick one nutritionally complete food to eat for the rest of your life, what would it be?",0
46,46fa716776ea3142a2b2,Is eating less/starving solution to obesity?,0
47,6eaf19bc4538b022a34d,What single book would you suggest to someone who wants to be a leader in today's world?,0
48,def5727fedbf1c920617,"As a child of verbal and emotional abuse, how can you ensure you won’t repeat the same behavior to your future children?",0
49,513127fc07a9d76615c9,What is the meaning of Ritambhara?,0
50,ab98d129f9e60cf1f37c,How can I raise funds for my NGO in India?,0
51,a48fd9de1fd8fde19f03,"How do I let go of pent-up rage, that seem to still be adding up?",0
52,a50a6cfc9e5217eea431,Are blue blocker glasses beneficial for sleep?,0
53,86c912172c8a4622aef8,Why would it be unnecessary to use Heron's Formula to find the area of a right triangle?,0
54,e8e2ff8f9063a9cf0664,Which is best place place in India to live?,0
55,7687597ebe7fee5fcf5d,What is scoopinder theory?,0
56,a1e7f6ab531659469f00,What are the best SEO strategies for Quora?,0
57,51b6526379078e94626b,Why do evangelicals believe that Donald Trump has repented for his sins when there is no evidence of that?,1
58,3a5ecda0f1a318fdfdcb,"If I travel to Shanghai can I still access Instagram, Snapchat and WhatsApp?",0
59,389d69d9dbc30f747ff4,Is it possible to enjoy pain?,0
60,3d187a6300bdbb7daa7a,What is the monthly gross salary including TA of inspector of store accounts in Indian railway?,0
61,35930c19772bc82c7cd3,What are the cons of keto diet?,0
62,037f04a1f1b7a4cd4985,Can two people who are not good conversationalists have a strong romantic relationship with each other?,0
63,c588633cada2d967a43c,How do I find the strength to raise my kids on my own while I’m still young and learning to take care of myself?,0
64,41918310f12512e6fdaa,What does the score mean on my profile pic?,0
65,594e8a1a6050b2f65568,Can you invest in the US if you are not from the US?,0
66,606aef831d9e71812e37,How long is a linear foot?,0
67,0569531be4f197824cdc,What is best reference book for business legal matters?,0
68,322806ad76476ddf4fab,"If atheists really live a YOLO life, then why don't they become criminals who can get whatever they want?",1
69,9c0ac35d3c660cf3b8cb,"What foods are tasty, cheap, and health?",0
70,d37baeeadcf8ca4e7215,Where can I meet Nina Dobrev?,0
71,2b7563272dc8e259e868,Im a recent single mother. Are there any animated movies about single mothers that is safe to watch with my kids?,0
72,28ba7d0855b8bd21d62f,Why students not like winters?,0
73,60f10b1c8cee24d3a71a,How much did they pay you at first in JLL?,0
74,2a5c44ff3988673c031a,"Intraday statistics says 95% of people lose money, then why don't they reverse their trade if their strategy says to go for buy/sell?",0
75,f04c13c742eb2955e4ad,What are your biggest fears in the upcoming years?,0
76,015adbdf4bc9adb2569f,How do I learn C in depth?,0
77,b87574365ea98157c644,The quarks shown in HC (CERN) video were real?,0
78,81409284635232d7c9ea,Today my result of JEE Mains paper-2 has been declared and I've got my rank 50281 so which college I'll get admission by this much rank?,0
79,7cc112b01ea3f55c0e2f,How many countries are in the British commenwealth?,0
80,21622f2e6489e6c62830,Does the Samsung Galaxy note 5 have a slot for an SD card?,0
81,357d31e90b42e3009d1e,Does a compiler reserve memory for magic numbers like it does for variables?,0
82,fd308ba54aea1ed4f5a5,Can you suggest me good domain name for a logo design company for small companies?,0
83,158cffd373f775fbec23,Is it possible that we are actually wrong about the speed of light?,0
84,05e73ab4ed9e64bb984f,Whom do you idolize?,0
85,fd8b6427189ff1809521,How could God create the entire Earth?,0
86,cd2306008fe79f522343,Is it mentioned in the Quoran that praying towards the Kaaba is to ensure unity among Muslims?,0
87,9bdccdb0da871b695b76,What is my scope after one year experience in HCL services limited?,0
88,dae6a8d5ac335de239d1,How do I overcome the rage I feel about the smear campaign launched after I ended my abusive relationship to a narcissist?,0
89,8c1ab1e62fafe58aa069,How do I edit any scanned document?,0
90,0a9d46742d955b8ab66b,Why are some people attracted to big bellies?,0
91,1a650d382f444e1ad92f,What are your favorite YouTube channels for education and current affairs?,0
92,2a0686cd38f9c836658a,Is Ebola still a big problem in Africa?,0
93,179fa6c864d832319ebe,What's the craziest thing that you've checked off your bucket list so far? What's the craziest that you still have yet to check off your list?,0
94,19dd9a091edf850df842,What is the code in PHP to register a new user with a registration number?,0
95,a72da273e48e2e6c12b4,What is the difference between Public and Private Utility Lines?,0
96,d11d0b40c2503b17fdba,Which are the best Korean dramas?,0
97,808326f93048af8925ef,What happens if you call the number 666 at 3:00 AM?,0
98,efec9cafbd505f688858,"Is Malayalam movies overtaking Tamil in terms of script, narration and acting?",0
99,4f7493c9276c28d57fab,How are tapeworms transmitted to others?,0
100,b329ac8eed76c0e050e8,What's something you learned about money?,0
101,490014d8a0ba0de329bd,"Why is a UEFI named that way? Like, what do all the words added together mean?",0
102,d368e03c4d58cad1886c,What's a basic P2P payment architecture?,0
103,42ae8b28ad620211add9,In what ways can the current wave of 'nationalism' effect India?,0
104,48965561a76c0f4142c6,"What is the tax slab in Malaysia if I join an IT company after July 2018 as expat, is there any difference if I join before July 2018?",0
105,aa19a7734bcc8691a8e0,"Is ""data hiding"" still widely-regarded as important? Was it added to address problems coders were actually encountering?",0
106,dc9533071776796b851e,Can an tier 4 student stay until his BRP expiry dropping studies?,0
107,1be1d67b86d013936e12,What helps rebuild collagen?,0
108,2a906ef1a4c289fd5cb6,How do I earn free Bitcoin without money?,0
109,ef0f998474e696fda695,Are proteins overrated in muscle growth?,0
110,59a909888a29324eb7fe,Is airport management good for a girl?,0
111,7b2fb1cfb4b9328fdc18,Are certificates from edX valuable?,0
112,94236c977c74995c64e2,Mathematical operations tend to come in pairs (eg. addition vs subtraction). What would mathematics with mostly trinary operations look like?,0
113,d7202f2dc6084c11c423,How can I get admission in made easy academy because my family income background is not good?,0
114,dec98eee34b3ebe41147,Whish is best water furifier in India?,0
115,4ca1859484feec31e896,Is there someplace special that you would like to go?,0
116,5bacf682b3bbaeb7d2e9,"Is it reasonable for Quora Content Review to remove the word ""ago"" from this question?",0
117,1ad0fc44425a3fe1aa49,What is the review of Easy Dental Al Rigga?,0
118,1a65413d68c213ae148e,What was your most humiliating or embarrassing naked moment?,0
119,be8c81f68c90ea11b6e0,Can I use one rupee coin in a marketing material such as flyer and distribute?,0
120,d2f001b688415d221b88,Why should I consider assisting to the Annamalai University?,0
121,04e6e8bddc4ea9d2fbba,If Hindus consider Ganges as their mother then why is the mother being fed so much untreated sewage and filth to choke it to death?,1
122,37efd35cc57ed21c96f4,Are USA companies more open to hiring Canadian or British graduates?,0
123,b64daca301ffdcafe997,Why does the BBC produce so many period dramas?,0
124,1f8e99c61383d727009e,How was Chilika Lake formed?,0
125,2b417ee2af5ca1b6ef6f,Is the ETA still a problem for Spain?,0
126,a2a7e1b616eb34b9272d,Why I didnt see the export in UC browser?,0
127,e41e98bfded65f0c6439,North Indians are exploiting Southern Indians. How should I convince my fellow South Indians to form a separate country?,1
128,b6b42ddd3816807725c3,I had a traumatic thing happen when I wasn't even a year old. I don't remember it but now my older sister says I have PTSD. Is that possible?,0
129,72cd073a8df84a625b3c,What should you know before playing fantasy baseball?,0
130,786d9ce9c18af8874a9b,"What are some mangas with a similar plot and storyline from ""Zatch Bell!""?",0
131,8be1177030851b926e64,How long does it take to apply for PNP Canada if the IELTS score is of CLB 9 level and what is the probability of getting PNP?,0
132,f9b03c1a015985207d5b,What is bare pipe?,0
133,4227cdb3fa0de932a28b,What are the elements that make up sulfuric acid?,0
134,1a02ef132e084442e6f1,What are the latest features of Instagram?,0
135,34f04365921d30091097,"How Open are girls towards the term ""Friends with benefits""?",0
136,cad505224a791dca9e62,"Why do people think Vietnam is influenced by Indian culture? Buddhism is the main religion in East Asia, but it seems that Vietnam is singled out as a country that’s Indic, when our cultures have no similarities at all?",1
137,b938e7224438b9f42070,What are your 10/10 novels?,0
138,a866d4dc7a636d0d07aa,What is the valency of chocolate?,0
139,beb9cf25fddc6e51c149,How does vitamin B help with an EtG test?,0
140,5213a4f5e1b71b9722cd,How can I get rid of my self harm scars?,0
141,495b42321b4a08caaf2d,"Does feminism encourage women to leave their husbands, kill their children, practice witchcraft, destroy capitalism and become lesbians?",1
142,107a6b31a5aa1925124e,What would happen if the president's limo ran out of petrol?,0
143,72e9b406346326e1a363,Why do lovers fight?,0
144,e5f9751ef460534975ef,How do I get rid of the habit of checking my phone every 5 minutes?,0
145,56470d63031633806784,What does a yellow line under a match.com photo mean?,0
146,54b885a7ed3643dafc90,"Can you share some tips for UCEED 2018 (important topics, terms, site for G.A or some material)?",0
147,bc2d6e9c00402614b33a,How painful is a budgie’s bite? Can you rate it from 1 to 10?,0
148,63d3719626716983a699,What changes did you find in your life after self introspection?,0
149,450d42b82e043fb2dff2,What is the average lifespan of a browser cookie? Does this differ across the United States and Europe?,0
150,b8b587bccb01789092ed,Why did Mahomet claim that a mole on his back was 'mark of prophethood'?,0
151,0927cd6282a9d01ca2a9,What was the best CS class you took at Penn?,0
152,83ba2ea96e1291236df3,"My mother in law keeps leaving her panty's My wife will go mad! By the bath and now I can't stop picking them up and sniffing them, how can I stop this weird habit when it turns me on so much?",1
153,70ae9e65c0eb7be6bcf2,"In the 1991 movie Amantes, why did Trini take off her shoes in the ending?",0
154,94fbec29b88851d0b5e1,Do people swim in the Great Slave Lake (Canada) in summer or is it too cold?,0
155,b6f77fb59517e5ed8d72,What were the causes for the massacre of Treschè Conca?,0
156,ce577e21d7559ef59ffb,Do you agree that females think with their brains and males with their testicles?,1
157,e41b27a79b3b6fee0d2b,How different is the syntax of English (in the last three centuries) from ancient Greek or katharevousa?,0
158,5966f4363ac94f86560e,How can I transfer name for an old bike in Indore?,0
159,f08792c88bc52ec6ad18,What ancient society can rocket technology be traced back to?,0
160,6ce86b165cf820582be3,I get waves of energy flowing through my head? Like a chill but it happens when I zone out or vibrate my eyes. What is this?,0
161,2c540c969aec2eb10062,How can I learn hangul?,0
162,5f73ecba4ab81a2563f4,How would you criticize the political beliefs of the person who A2A?,0
163,13897d7416cf723e376c,"Is $72,500 + 5% bonus a good salary for a 25 year old in Chicago?",0
164,c2a7577b4fafc05e757d,How can I get my deposit back from a moving company that has gone out of business?,0
165,7690545a5eb32e3c6779,Me and my husband are planning to visit Goa for 3 days in the mid of December to celebrate our first wedding anniversary. Which places to visit to make our trip memorable?,0
166,b13a6cd99a1ff42fa417,What are some sexy truth or dare?,0
167,99e1cebf21b08837caf3,Should some college majors be greatly restricted in order to not train that many graduates with useless degrees?,0
168,a402ab14f23bbd155867,What is the eligibility criteria for engineering?,0
169,ce7f29d2a8cd8cbb854b,How can you tell if it is just about sex?,0
170,af84ce35be9c8bb67a64,"What are good ways to prank freshmen (where I’m from, they’re 8th graders) when I’m a senior?",0
171,a7fa4db646cb75e8f04a,How do you start a profitable YouTube gaming channel?,0
172,72fc0c2af184d288f6c9,What is the RSS roadmap for turning India into a successful Hindu Rashtra?,0
173,97c9ddf70fe5c8038d3b,Is it a high priority for Canada to become a leader in investing in sustainable energy?,0
174,e0748802b5a4b8bbd282,What fictional world and species would you most like to reincarnate into and why?,0
175,1191fb78fa6d0c6d6572,What the fuck is Quora and how do I fucking get OFF of it?,1
176,43a56d5d6e35cb8c10f5,If the surface tension of water was not the same (either less or more) would our bodies still be able to function?,0
177,7423d60eefc54ea1494a,"What is the difference between NFC-A, NFC-B and NFC-F?",0
178,b151fbbbc76b95904d87,How do you keep your room neat as a messy person?,0
179,b08037e705d998f56be6,"Why doesn’t the US invade North Korea, steal their nukes, and then leave?",1
180,2f94ea809bb9afa73d65,"What free dating app will/has replaced the ""Alternative Romance"" section of Craigslist?",0
181,e96141f4f4bdae1f470a,What happens if I am reapplying to the same college and lie to them that I have not applied previously?,0
182,9f49f774319f61a91f26,How was Android developed?,0
183,05695d64c474c4ffaec4,Where was the last burrito you ate purchased from?,0
184,e00911eff0abeef5e4a4,Can I get admission in IISER without taking JEE or KVPY?,0
185,5b247e6632db90c88a7e,Would Germany have continued it's policy of expansion if Hitler died after annexing Austria?,0
186,8bd4dcc23adb0cbdbb23,"I am dating an 8th grader while I am in 7th grade, there are 4 weeks left of school. Will the relationship continue?",0
187,a47cc692072a0ccb3494,Why does my grandmother think you have to be coordinated to play video games?,0
188,a6af9f8a2bac765ef6f0,Could you replace the nuclear reactors in a Nimitz with diesel engines?,0
189,473b9da9bcafd97d91d0,What if every firearm in the US was suddenly replaced by a Chauchat LMG?,0
190,11308a072effa46f5b9e,What are the benifits of Redwin?,0
191,2d393fc7f097b78c2f12,What should I consider while buying a cot?,0
192,1f756ac6a6975e0e012f,How can I write quality content for my blog?,0
193,57e2b09c43d43dd630de,What are the most funniest question in Quora?,0
194,b8c2e3543de9054e1de8,What will Amazon do with Alexa next?,0
195,a9ba4b6d369eef33fc46,"What are the psychological, sociological, and/or linguistic reasons for parents being referred to in the 3rd person when speaking with children?",0
196,7f2c4a4d4b5633dd38d7,How can I change my profession to core marketing like Product/PR when I have almost 2 years of sales experience?,0
197,cee234fbe644e3c6b5b6,"Why everyone advocates for rest days (even if you train just an hour a day) when competitive athletes train much more? I used to compete when I was a teenager and we spent days training or weekends competing, with 2w off at the end of the season.",0
198,56784942c856609f4c76,Is it possible to be EXACTLY Pi years old?,0
199,11d0a9d0d25f02757572,Should Greg Schiano be a head coach for a NCAA team?,0
200,f76c4e63a9e502886eb8,"Why does Quora's moderators collapse or delete comments that they say cross their BNBR policies, yet leave bad stuff if it's against President Trump and/or his supporters?",1
201,a3f2a0f888d24f8898fc,What are the reasons for Adobe’s impressive growth?,0
202,0f7bbf38f2ee07030257,Why don't commodities follow inflation?,0
203,afb92e00c7d524cf9dd4,"What is the difference between sarcasm, passive aggressiveness and manipulating someone?",0
204,3975ee35a76b1b6c2b71,Why it should not be said that Bhimrao Ambedkar was the single person who caused the greatest damage to Indian society by dividing it under casteism making people currently suffering and due to which world laughs on Indians?,0
205,7f7e920462221b3d26c5,Can I score 50 marks in GATE ECE 2018 if I start studying now? I am currently studying 5 hours a day,0
206,81179918a3034221c4c8,Which DNA testing company should I choose to get the highest resolution of ancestry detail?,0
207,190275358a314effc9d6,Are there any online training courses/programs for PEGA Decision architect?,0
208,bcc8c011ebab596027be,Why did USA withdraw from human rights council?,0
209,4736823dd8808fcecfb2,"Although all of them are hostile environments, which of the gas giants is the least dangerous?",0
210,4b4b9c33cf1c8145a489,What is the main difference between a MSc and M.Eng degrees?,0
211,443232e5aa7e450fd53b,How do I crop a PDF to its crop marks in InDesign or Acrobat?,0
212,6d199a5ae8232b5bbe07,Can I get step marks in accounts in B. Com exam under CU?,0
213,0b509b3d5d360a893bf1,"How can I get cheap flights from Tampa, Florida to Atlanta, Georgia?",0
214,881f0d6065c9b344f010,Which is the best SSC CGL and bank PO coaching in Ghaziabad?,0
215,4095fd34d0c333d77884,Will the Sinestro Corps show up in the next Batman movie?,0
216,8d4d63ed9d0921a8dab1,Which engineering field is best for females?,0
217,5d87b1797ecfb49f1b00,What age is perfect to learn code?,0
218,88a63991e0b5c7e1dc36,Where would you get spent bullet shells?,0
219,d04cdf9fecbffd986eb6,Is it true that North Korea is sitting on top of trillions of dollars of untapped resources?,0
220,f23f21a629b2bff20388,What kint of spider bite Peter parker?,0
221,db791309ee6379f04b4b,How do I put a timer on a pic Im sending to somone on Snapchat?,0
222,e61d65e135abfb790b0d,"In an alternate world, what might the Sinosphere look like?",0
223,48bda208f92b57cefb5a,"Who should I vote for in NY attorney genera primay, Zephyr Teachout or Tis James?",0
224,a3e114874db13f75918e,Are the Z fighters still relevant in DVS?,0
225,d6e18bdf959aaffa9306,What is your favorite sport and why?,0
226,5abd53b656c23cb0501f,How is hinna colorfull?,0
227,556218872c615e0e1da4,Did anyone has experience living in Cyprus?,0
228,ad0da1da832d21cdd6b8,What is your most favorite recipe?,0
229,b5a4ed62ab5dc9b8fa08,Which is the best RRB coaching institute?,0
230,2c815c3b827400e1352d,What type of mixture is soda water?,0
231,a5d0a90c9e927a8c00f5,Received letters from three different attorney regarding taking my property for a bike trail. When should it be taken serious?,0
232,ab2185d81ce9c1920234,How do I use barcoding with tally?,0
233,78b6d2a1c68578fd3927,"What movie had a leading protagonist who was so unlikable that you virtually, or actually did, side with the antagonist at least for a moment?",0
234,94a2db7c83c1a37d0c70,Have you ever suspected that your parents were mentally retarded or insane?,0
235,de7622784442e7178918,Why do you believe bitcoin is a Ponzi scheme?,0
236,91a2687f676b5a80e0f8,Why are gummi bears better than gummi worms?,0
237,5d96fd607026ee02df70,"If you heard a knock at the door and you saw no one, can you explain it spiritually or scientifically?",0
238,ad5cbd72d170c0814666,What does the day to day work look like for a Pharmaceutical and Healthcare market Researcher?,0
239,008f9af28d7d8ecea6a5,Can you still have an eating disorder if you exercise to burn fat but instead to gain muscle?,0
240,46c8162f832ff8922770,Why are adults and teens so rude to children?,0
241,c24f3fefba4398b4026a,What would you consider a very helpful content from travel website that sells activities?,0
242,3fc536bc0295dcddc0b8,What is the sudden unexpected death syndrome?,0
243,44d9830cb0ad1a699e49,What will be the electricity consumption of 2bhk flats in a hour?,0
244,5f8a7ecc72afcc34b411,On espncricinfo statusGuru how do you get bowlers sorted by the best strike and have taken at least 100 wickets in test match cricket?,0
245,faf0f9fff294c7ed83da,Should Sarah Sanders receive secret service protection?,0
246,1f003bbee6759d64caf0,How and where can I start to learn C programming? I only took a introductory course on Java for one semester? You can guess my level of coding.,0
247,085e108c1f53c35ec6a2,Whats the best equalizer setting to listen Drum and Bass?,0
248,17e5b1145124b007088b,What would have happened if Captain America had ran for president with Donald Trump?,0
249,7d45037d53a33f8c4619,Can I change limited transaction right to full transaction right in SBI?,0
250,2dd15cb08a1f736976d0,Why are you so eager to write answers on Quora? Don't you have anything else to do?,1
251,628f4cc88bac1324833a,Can I still get hired if I'm a licensed CPA but I lost all my certificates of seminars during my undergrad which I could have included in my resume?,0
252,d8c1c60fe3074d4bca64,"When will the theists stop bombarding others with their claims about God(s)? When will they stop frustrating people who are just trying to point out the fallacies of their beliefs, so that theists can re-evaluate them?",1
253,4e6df4af68f8b545ed2c,What are some effective study tips that have worked for you?,0
254,f151d4bbe3fec3086764,What would happen if every cop quit their job?,0
255,3fe560cd860db2dc7b49,Why are Tamils so intolerant about any other language?,1
256,96fef25a8d0db68aba7a,How has the digital age changed the economics of the music industry for artists?,0
257,ed87e94cdc3ff31ee4f7,"KVPY 2017 is reconducting for selected students at selected centre, now will the paper given to them will be different and now how will cut-off be decided and when will answer key be released?",0
258,9463f70b19b252e015fb,Which university is best for M.Sc. chemistry?,0
259,316807b9674dbeabd490,"Has the media ever used the term ""alt-left""?",0
260,055ce6739cfc7ad94ca7,What is a good itinerary for a honeymoon in Koh Samui?,0
261,61f49fbf91ff02c6c2a3,Is it fine to leave a place where people don't respect you or is it considered being coward?,0
262,e3e60834ec910f74f10b,Are anonymous questions heavily tilted against Robert Mueller and in favor of Trump and Putin being posted by Russian bots?,1
263,b2c3c01b1cb92b3766ee,Can anyone give me an idea how I can make a timetable of 5 to 6 hour a day for CBSE class 12 boards PCM to score above 95?,0
264,173bcb118df6c1e28bfd,How can I rank under 1000 in WBJEE 2018?,0
265,b0441f78f9ac82b4fec8,"Why do shows like Noddy, Oswald, Thomas & Friends, Bob the Builder not aired in India anymore?",0
266,6fc697865e5efdbba3cf,"On your most recent answer about net neutrality, the short answer was yes to it ending the internet but the long answer led everyone to being happy. Which is it, yes or no? I can see that it would be ended as we know it but would that be good?",0
267,8066a5f658b327eb2e0f,Are laptops provided from VIT univerdity for MBA studen?,0
268,1b1a6414add5b3e61c83,Do you think some Top writers only care about upvotes when other writers only care about writing only?,0
269,6e5e58738d91da68b0af,What happens to the storyboard when the film shoot is finished?,0
270,bc0820c0dd4fc82c0059,What is reduction potential of nitrate ion?,0
271,3ccf51f336276efc8198,"Should I listen to my mother’s words and marry a man who is short, fat but rich?",0
272,05c48800f27959ad7251,What is the logic of making money? What is the law that makes a huge difference in making money?,0
273,d385eb522f84f1086cda,"If you believe in equality, what is individuality then, for you?",0
274,56b6dfa204709e8068dc,How do you do the things you don't want to do?,0
275,abedbdf3b1e3f14925de,What are cockroaches good for?,0
276,9ae637457c095f04a90b,What is the reason behind builders going bankrupt in India?,0
277,5fa1b1a28091eaaf4fcc,Which planet spins east to west?,0
278,e87be7afef10aff399d6,What does an electrical engineer do at BMW?,0
279,c5db4ea8ff9cc727b1c7,Can you day trade at London Stock exchange?,0
280,e333b3d6f705e6e8d0b5,Is there such a thing as Liberal Islam?,0
281,0a27cfd7faaf9028eedc,"Human cells normally stay in the same body part, so if a cell or group of cells from a foreign body part were somehow to come in contact with another body part, what would happen?",0
282,1b80851bd9c51a5a7190,"Are there jobs available in America today that really don't require a diploma or degree, but simply a desire and ability to work?",0
283,669732ffa657b780dd6b,Why do intimation is not enough and we need NOC just to apply for higher post?,0
284,f264267cbbc4919363db,"What was that film in the 50""s where a rebellious daughter ran away with her boyfriend only to later on cheat on her boyfriend with a dirty old man after she and her boyfriend got drunk?",0
285,9c5c24af7599d52a622c,How do I gain weight? What supplement should I take?,0
286,3dd56c6e9a289f662059,Will I get a speeding ticket by post in India if my license plate is from a different state?,0
287,171f6001837ea25b7ae0,Do guys prefer blondes or brunettes and why?,0
288,2f965f5107fe5e06a0a9,What are your top 5 rules for living a happy life?,0
289,4763384d5527c02f6a8e,Which is the best university in Russia for aeronautical engineering?,0
290,7c2dc99241c8e2be2d2a,"What things should one do/avoid, to age with grace?",0
291,4474d4fdaa7f50df150b,What do you think about the WriteEmo Facebook page?,0
292,c52364db390a65238713,How is the faculty at TIME institute CP for weekend batches?,0
293,e618db83a13675c09be5,"What is the typical/average number of neurons in an excitatory (or inhibitory) population, irrespective of how 'population' is defined?",0
294,908d7f900d0d2546151f,Why in Harry Potter universe only Voldemort has Horcruxes? Cant Deatheaters also create Horcruxes since they are (intentional or unintentional) murderers too?,0
295,bfb7e2c0b7730ed5ef2c,Why does Loy Machedo answers don't have good upvotes though his answers are good and have many followers?,0
296,603e47c891135dc1fe11,"What should I major in if I want to be a non-fiction writer in history, geopolitics and human rights?",0
297,b71e008c5fd9756d39a1,How would you describe the different manifestations in a company's unorganisation?,0
298,79fb9939e6b1c1038a89,What are the main causes for mumps?,0
299,85f9dfb2b73a2c4033c9,Can I sell non brand mobile cover product in Amazon?,0
300,f2c7eb8772cf2e8e7d8a,How secure is BitWarden's end-to-end encryption?,0
301,711fd1eecf235bf68c65,Why do many people know when they're dying?,0
302,0fcb41915d9019466144,What is the best setting for canonical tags for Multiregional website?,0
303,cb6f39a4f7dfa87c1a93,Will I enter ketosis faster if I do a one day water fast or do a two day egg fast (not priory keto adapted)?,0
304,4986c4defd01f04805f3,What was the most embarrassing moment you've been caught masterbating?,0
305,a355456b81d1f6cfc60f,How can I be a good debater?,0
306,621c88d8c5d622d2e101,Why don’t we give 72 virgins to Muslim terrorists so they don't become suicide bombers?,1
307,5593111c385446acf2a4,How are potential CEOs interviewed?,0
308,a7e9beeffaa1ad496129,What is the value of a Harvard MBA if the graduate has no work history for 10-years after completing it?,0
309,067574beafc1484abdec,What advice would you give to a 12th grader science student?,0
310,ab2415da940bfb831797,How do I decide which Android app to use for downloading videos? Tubemate or InsTube?,0
311,49a09ced442b871b84ff,What is Counter Strike 1.6 War Space?,0
312,8325621ad28f39bfa4e9,How would we write an application for leave for mama's marriage where which I leave my Hindi exam ination of class 11th pre board exam?,0
313,18b9a2ee6a5dbf765281,Can it be proven that Zeus does not exist?,0
314,238371cf8266c0f651c7,On a single charge up to how long does the Nokia 7 plus last?,0
315,fce931d76ba310ded2b7,What can I do to get an autograph of Benicio Del Toro?,0
316,c01e2ddbebdf4b06b249,How do you pay for lawyers?,0
317,3c75569577c08bade933,How have electronic media and their convergence transformed journalism and news consumption?,0
318,bb43e298c86e62270436,What is considered the best school for those who aspire to be a football coach?,0
319,e5cd99dd24a2554f0680,"I'm 17 and in love with music, movies and looks from the 70s and 80s. Where can I find teens who share my taste?",0
320,ab58db131b15436ad4d1,How old should a puppy be before I bring him home?,0
321,ffc319bb1e1a38afc342,Where’s the fastest internet connection in the world?,0
322,e471bc26e632210f098f,What would happen if Google suddenly disappeared?,0
323,ce771c544f2761d41d62,What ethnicities are the worst tippers? Please list your location (city),0
